,0
0,audio/down/881583a6_nohash_0.wav
1,audio/right/cd85758f_nohash_2.wav
2,audio/left/7be5a0f3_nohash_0.wav
3,audio/stop/c22d3f18_nohash_0.wav
4,audio/no/1093c8e7_nohash_0.wav
5,audio/left/2d82a556_nohash_0.wav
6,audio/down/a9f38bae_nohash_1.wav
7,audio/off/d57febf0_nohash_1.wav
8,audio/left/3df9a3d4_nohash_0.wav
9,audio/yes/22aa3665_nohash_0.wav
10,audio/on/7fd25f7c_nohash_0.wav
11,audio/no/7c1d8533_nohash_1.wav
12,audio/left/e63b69c5_nohash_0.wav
13,audio/off/c50225fa_nohash_2.wav
14,audio/off/6b81fead_nohash_0.wav
15,audio/yes/54d9ccb5_nohash_1.wav
16,audio/on/e54a0f16_nohash_0.wav
17,audio/off/9d4bab4f_nohash_0.wav
18,audio/off/439c84f4_nohash_3.wav
19,audio/yes/471a0925_nohash_4.wav
20,audio/yes/8c7f81df_nohash_1.wav
21,audio/right/aa233654_nohash_0.wav
22,audio/up/aef8dcf5_nohash_0.wav
23,audio/yes/2c6d3924_nohash_1.wav
24,audio/on/5c8af87a_nohash_1.wav
25,audio/up/dca2797e_nohash_0.wav
26,audio/left/5e3dde6b_nohash_2.wav
27,audio/down/ad63d93c_nohash_1.wav
28,audio/go/67c7fecb_nohash_0.wav
29,audio/left/026290a7_nohash_1.wav
30,audio/on/66cff190_nohash_0.wav
31,audio/left/95ba4996_nohash_0.wav
32,audio/up/0e17f595_nohash_0.wav
33,audio/down/5b1db3ee_nohash_0.wav
34,audio/stop/f34e6f44_nohash_0.wav
35,audio/up/1aed7c6d_nohash_0.wav
36,audio/up/97f4c236_nohash_2.wav
37,audio/stop/962f27eb_nohash_1.wav
38,audio/on/9db2bfe9_nohash_1.wav
39,audio/go/1942abd7_nohash_1.wav
40,audio/no/a7dd45cf_nohash_1.wav
41,audio/on/b83c1acf_nohash_1.wav
42,audio/up/5fadb538_nohash_0.wav
43,audio/go/24ad3ebe_nohash_0.wav
44,audio/yes/439c84f4_nohash_2.wav
45,audio/on/8335f893_nohash_0.wav
46,audio/yes/57cb3575_nohash_1.wav
47,audio/down/541120c7_nohash_2.wav
48,audio/yes/19b05529_nohash_0.wav
49,audio/on/db4cf12f_nohash_0.wav
50,audio/yes/c22d3f18_nohash_0.wav
51,audio/no/f84762e5_nohash_1.wav
52,audio/up/7c1d8533_nohash_3.wav
53,audio/stop/dbb40d24_nohash_0.wav
54,audio/on/2e0d80f7_nohash_2.wav
55,audio/left/dbb40d24_nohash_4.wav
56,audio/no/dca2797e_nohash_3.wav
57,audio/up/9a7c1f83_nohash_5.wav
58,audio/on/81dc4a94_nohash_0.wav
59,audio/on/563aa4e6_nohash_3.wav
60,audio/stop/6d818f6c_nohash_0.wav
61,audio/stop/135c6841_nohash_1.wav
62,audio/right/dca2797e_nohash_3.wav
63,audio/left/9a69672b_nohash_0.wav
64,audio/up/ec74a8a5_nohash_0.wav
65,audio/up/caf9fceb_nohash_0.wav
66,audio/left/d0faf7e4_nohash_3.wav
67,audio/stop/2ce7534c_nohash_2.wav
68,audio/go/edc53350_nohash_0.wav
69,audio/left/62641b88_nohash_0.wav
70,audio/no/bca56796_nohash_0.wav
71,audio/on/2a89ad5c_nohash_1.wav
72,audio/yes/fa446c16_nohash_0.wav
73,audio/down/6f2f57c1_nohash_2.wav
74,audio/stop/840c366d_nohash_0.wav
75,audio/go/370844f7_nohash_1.wav
76,audio/go/7c1d8533_nohash_3.wav
77,audio/yes/ad63d93c_nohash_3.wav
78,audio/off/936de313_nohash_0.wav
79,audio/stop/060cd039_nohash_0.wav
80,audio/on/2a89ad5c_nohash_2.wav
81,audio/off/3bdf05d3_nohash_2.wav
82,audio/off/81dc4a94_nohash_1.wav
83,audio/right/ec21c46b_nohash_2.wav
84,audio/up/a60a09cf_nohash_0.wav
85,audio/left/9b3ea809_nohash_0.wav
86,audio/stop/b49caed3_nohash_0.wav
87,audio/right/b737ee80_nohash_1.wav
88,audio/go/56eb74ae_nohash_3.wav
89,audio/up/8625475c_nohash_0.wav
90,audio/on/56eb74ae_nohash_3.wav
91,audio/down/28ef2a01_nohash_0.wav
92,audio/no/9db2bfe9_nohash_0.wav
93,audio/stop/587f3271_nohash_0.wav
94,audio/no/cab100c9_nohash_1.wav
95,audio/left/022cd682_nohash_1.wav
96,audio/stop/ad63d93c_nohash_0.wav
97,audio/left/50ed8a7b_nohash_0.wav
98,audio/down/8843b25f_nohash_0.wav
99,audio/go/53d5b86f_nohash_0.wav
100,audio/up/b5d1e505_nohash_2.wav
101,audio/on/f17be97f_nohash_1.wav
102,audio/right/d55aa56c_nohash_0.wav
103,audio/go/dbb40d24_nohash_1.wav
104,audio/off/0ab3b47d_nohash_1.wav
105,audio/up/3903b558_nohash_1.wav
106,audio/left/ad63d93c_nohash_2.wav
107,audio/right/0e17f595_nohash_0.wav
108,audio/no/f2dd248e_nohash_1.wav
109,audio/on/0e17f595_nohash_0.wav
110,audio/stop/f0ae7203_nohash_0.wav
111,audio/off/b7016c27_nohash_1.wav
112,audio/stop/56eb74ae_nohash_4.wav
113,audio/up/1816b768_nohash_1.wav
114,audio/left/53d5b86f_nohash_0.wav
115,audio/up/cd85758f_nohash_3.wav
116,audio/on/fa446c16_nohash_1.wav
117,audio/go/b433332a_nohash_1.wav
118,audio/no/53d5b86f_nohash_0.wav
119,audio/left/1b4c9b89_nohash_3.wav
120,audio/stop/4abefdf5_nohash_1.wav
121,audio/off/b7016c27_nohash_0.wav
