,0
0,spectrograms/down/881583a6_nohash_0.png
1,spectrograms/right/cd85758f_nohash_2.png
2,spectrograms/left/7be5a0f3_nohash_0.png
3,spectrograms/stop/c22d3f18_nohash_0.png
4,spectrograms/no/1093c8e7_nohash_0.png
5,spectrograms/left/2d82a556_nohash_0.png
6,spectrograms/down/a9f38bae_nohash_1.png
7,spectrograms/off/d57febf0_nohash_1.png
8,spectrograms/left/3df9a3d4_nohash_0.png
9,spectrograms/yes/22aa3665_nohash_0.png
10,spectrograms/on/7fd25f7c_nohash_0.png
11,spectrograms/no/7c1d8533_nohash_1.png
12,spectrograms/left/e63b69c5_nohash_0.png
13,spectrograms/off/c50225fa_nohash_2.png
14,spectrograms/off/6b81fead_nohash_0.png
15,spectrograms/yes/54d9ccb5_nohash_1.png
16,spectrograms/on/e54a0f16_nohash_0.png
17,spectrograms/off/9d4bab4f_nohash_0.png
18,spectrograms/off/439c84f4_nohash_3.png
19,spectrograms/yes/471a0925_nohash_4.png
20,spectrograms/yes/8c7f81df_nohash_1.png
21,spectrograms/right/aa233654_nohash_0.png
22,spectrograms/up/aef8dcf5_nohash_0.png
23,spectrograms/yes/2c6d3924_nohash_1.png
24,spectrograms/on/5c8af87a_nohash_1.png
25,spectrograms/up/dca2797e_nohash_0.png
26,spectrograms/left/5e3dde6b_nohash_2.png
27,spectrograms/down/ad63d93c_nohash_1.png
28,spectrograms/go/67c7fecb_nohash_0.png
29,spectrograms/left/026290a7_nohash_1.png
30,spectrograms/on/66cff190_nohash_0.png
31,spectrograms/left/95ba4996_nohash_0.png
32,spectrograms/up/0e17f595_nohash_0.png
33,spectrograms/down/5b1db3ee_nohash_0.png
34,spectrograms/stop/f34e6f44_nohash_0.png
35,spectrograms/up/1aed7c6d_nohash_0.png
36,spectrograms/up/97f4c236_nohash_2.png
37,spectrograms/stop/962f27eb_nohash_1.png
38,spectrograms/on/9db2bfe9_nohash_1.png
39,spectrograms/go/1942abd7_nohash_1.png
40,spectrograms/no/a7dd45cf_nohash_1.png
41,spectrograms/on/b83c1acf_nohash_1.png
42,spectrograms/up/5fadb538_nohash_0.png
43,spectrograms/go/24ad3ebe_nohash_0.png
44,spectrograms/yes/439c84f4_nohash_2.png
45,spectrograms/on/8335f893_nohash_0.png
46,spectrograms/yes/57cb3575_nohash_1.png
47,spectrograms/down/541120c7_nohash_2.png
48,spectrograms/yes/19b05529_nohash_0.png
49,spectrograms/on/db4cf12f_nohash_0.png
50,spectrograms/yes/c22d3f18_nohash_0.png
51,spectrograms/no/f84762e5_nohash_1.png
52,spectrograms/up/7c1d8533_nohash_3.png
53,spectrograms/stop/dbb40d24_nohash_0.png
54,spectrograms/on/2e0d80f7_nohash_2.png
55,spectrograms/left/dbb40d24_nohash_4.png
56,spectrograms/no/dca2797e_nohash_3.png
57,spectrograms/up/9a7c1f83_nohash_5.png
58,spectrograms/on/81dc4a94_nohash_0.png
59,spectrograms/on/563aa4e6_nohash_3.png
60,spectrograms/stop/6d818f6c_nohash_0.png
61,spectrograms/stop/135c6841_nohash_1.png
62,spectrograms/right/dca2797e_nohash_3.png
63,spectrograms/left/9a69672b_nohash_0.png
64,spectrograms/up/ec74a8a5_nohash_0.png
65,spectrograms/up/caf9fceb_nohash_0.png
66,spectrograms/left/d0faf7e4_nohash_3.png
67,spectrograms/stop/2ce7534c_nohash_2.png
68,spectrograms/go/edc53350_nohash_0.png
69,spectrograms/left/62641b88_nohash_0.png
70,spectrograms/no/bca56796_nohash_0.png
71,spectrograms/on/2a89ad5c_nohash_1.png
72,spectrograms/yes/fa446c16_nohash_0.png
73,spectrograms/down/6f2f57c1_nohash_2.png
74,spectrograms/stop/840c366d_nohash_0.png
75,spectrograms/go/370844f7_nohash_1.png
76,spectrograms/go/7c1d8533_nohash_3.png
77,spectrograms/yes/ad63d93c_nohash_3.png
78,spectrograms/off/936de313_nohash_0.png
79,spectrograms/stop/060cd039_nohash_0.png
80,spectrograms/on/2a89ad5c_nohash_2.png
81,spectrograms/off/3bdf05d3_nohash_2.png
82,spectrograms/off/81dc4a94_nohash_1.png
83,spectrograms/right/ec21c46b_nohash_2.png
84,spectrograms/up/a60a09cf_nohash_0.png
85,spectrograms/left/9b3ea809_nohash_0.png
86,spectrograms/stop/b49caed3_nohash_0.png
87,spectrograms/right/b737ee80_nohash_1.png
88,spectrograms/go/56eb74ae_nohash_3.png
89,spectrograms/up/8625475c_nohash_0.png
90,spectrograms/on/56eb74ae_nohash_3.png
91,spectrograms/down/28ef2a01_nohash_0.png
92,spectrograms/no/9db2bfe9_nohash_0.png
